name,industry,current_price,sales,operating_profit,profit_after_tax,net_profit,opm,eps,return_on_capital_employed,roce3yr_avg,sales_growth_3years,sales_growth_5years,profit_growth_3years,profit_growth_5years,eps_growth_3years,eps_growth_5years,sales_growth_10years,profit_growth_10years,eps_growth_10years,debt,net_worth,current_ratio,interest_coverage_ratio,working_capital,cash_equivalents,total_assets,debt_to_profit,leverage,altman_z_score,market_capitalization,price_to_sales,price_to_cash_flow,price_to_free_cash_flow,peg_ratio,evebitda,market_cap_to_sales,enterprise_value_to_ebit,intrinsic_value,graham
20 Microns,Mining / Minerals / Metals,225.0,777.0,106.0,57.0,56.0,13.59,16.0,21.7,20.14,17.0,10.0,35.0,18.0,35.0,18.0,9.0,49.0,48.0,121.0,353.0,1.75,5.79,248.0,60.0,588.0,2.16,1.57,5.36,792.0,1.02,14.58,24.2,0.77,7.8,1.02,8.97,246.0,189.0
21st Cent. Mgmt.,Finance & Investments,70.0,35.0,33.0,32.0,32.0,94.27,31.0,73.0,-1.17,,32.0,121.0,42.0,121.0,42.0,42.0,62.0,62.0,4.0,53.0,6.76,,40.0,4.0,60.0,0.13,0.93,6.44,74.0,2.12,-42.02,39.91,0.05,2.25,2.12,2.25,112.0,187.0
360 ONE,Finance & Investments,1009.0,2921.0,1705.0,804.0,804.0,58.37,22.0,14.47,13.73,21.0,13.0,29.0,17.0,29.0,,,,,9472.0,3450.0,0.84,2.57,-329.0,638.0,15114.0,11.78,3.81,4.67,36628.0,12.36,-76.81,-102.75,2.72,26.3,12.36,27.2,203.0,220.0
3B Blackbio,Healthcare,1182.0,74.0,33.0,32.0,32.0,44.5,38.0,20.95,22.23,-31.0,26.0,-34.0,44.0,-37.0,36.0,13.0,56.0,51.0,1.0,223.0,7.04,370.42,106.0,62.0,248.0,0.03,1.04,9.14,1014.0,13.55,37.34,36.64,0.72,20.72,13.55,21.21,1384.0,472.0
3C IT Solutions,Computers - Software - Medium / Small,44.0,62.0,3.0,1.0,1.0,5.17,32.0,25.63,27.48,,,,,,,,,,13.0,4.0,2.0,1.69,17.0,0.0,29.0,11.75,7.75,5.0,26.0,0.44,-12.27,-10.67,,9.57,0.44,10.28,,
3i Infotech,Computers - Software - Medium / Small,37.0,814.0,-13.0,-74.0,-298.0,-1.65,-18.0,-6.65,-2.13,10.0,-6.0,,,,,-5.0,6.0,3.0,84.0,293.0,1.05,-3.69,73.0,55.0,664.0,-0.28,2.79,3.29,622.0,0.76,12.1,-68.99,,-64.46,0.76,-17.45,,
3M India,Diversified - Large,37170.0,3927.0,706.0,536.0,536.0,17.98,476.0,33.08,24.53,18.0,7.0,54.0,11.0,54.0,11.0,8.0,29.0,29.0,18.0,2370.0,2.38,225.47,1371.0,1118.0,3399.0,0.03,1.33,23.11,41890.0,10.71,72.25,106.82,7.35,52.94,10.71,56.74,4457.0,4747.0
3P Land Hold.,Finance & Investments,38.0,4.0,3.0,2.0,2.0,70.51,1.0,2.94,2.93,36.0,14.0,146.0,87.0,146.0,87.0,-33.0,12.0,12.0,0.0,99.0,3.71,,0.0,0.0,104.0,0.0,0.87,2.49,69.0,19.22,570.0,4104.0,0.44,27.17,19.22,28.18,38.0,35.0
52 Weeks Enter.,Entertainment / Electronic Media Software,2.0,0.0,0.0,0.0,0.0,60.71,0.0,0.87,-1.65,,-45.0,26.0,16.0,26.0,16.0,,7.0,7.0,4.0,16.0,4.88,,19.0,0.0,20.0,21.29,1.25,2.78,6.0,21.0,58.98,-11.06,2.23,55.82,21.0,55.82,1.0,2.0
5Paisa Capital,Finance & Investments,515.0,395.0,110.0,54.0,54.0,27.9,17.0,13.35,11.3,27.0,45.0,55.0,37.0,45.0,34.0,,,,336.0,540.0,1.57,3.52,667.0,1637.0,2048.0,6.18,3.42,2.37,1607.0,4.07,-17.5,-19.54,0.79,2.76,4.07,3.02,532.0,261.0
